peak,symbol
4q32.1,PPID
4q32.1,FNIP2
4q32.1,C4orf45
4q32.1,MIR3688-1
4q32.1,MIR3688-2
4q32.1,RAPGEF2
4q32.2,FSTL5
4q32.2,LOC101928052
4q32.2,MIR4454|chr4
4q32.2,NAF1
4q32.2,NPY1R
4q32.2,NPY5R
4q32.2,TKTL2
4q32.2,TMA16
4q32.2,1-Mar
4q32.3,ANP32C
4q32.3,APELA
4q32.3,LINC01207
4q32.3,TRIM61
4q32.3,FAM218A
4q32.3,TRIM60
4q32.3,TMEM192
4q32.3,KLHL2
4q32.3,GK3P
4q32.3,MSMO1
4q32.3,CPE
4q32.3,MIR578
4q32.3,hsa-mir-1979
4q32.3,LINC01179
4q32.3,LOC101928131
4q32.3,TLL1
4q32.3,SPOCK3
4q32.3,ANXA10
4q32.3,DDX60
4q32.3,DDX60L
4q32.3,PALLD
4q32.3,CBR4
4q32.3,SH3RF1
4q33,NEK1
4q33,CLCN3
4q33,HPF1
4q33,LOC100506085
4q33,MFAP3L
4q33,AADAT
4q33,LINC01612
4q33,LOC100506107
4q34.1,LOC100506122
4q34.1,MIR6082
4q34.1,GALNTL6
4q34.1,LOC441052
4q34.1,LOC101928314
4q34.1,LOC101930370
4q34.1,GALNT7
4q34.1,MIR548T
4q34.1,HMGB2
4q34.1,SAP30
4q34.1,SCRG1
4q34.1,HAND2
4q34.1,HAND2-AS1
4q34.1,FBXO8
4q34.1,LOC101928509
4q34.1,CEP44
4q34.1,MIR4276
4q34.1,HPGD
4q34.1,GLRA3
4q34.1,LOC101928551
4q34.1,ADAM29
4q34.2,GPM6A
4q34.2,LOC101928590
4q34.2,WDR17
4q34.2,SPATA4
4q34.2,ASB5
4q34.2,SPCS3
4q34.3,VEGFC
4q34.3,NEIL3
4q34.3,AGA
4q34.3,LINC01098
4q34.3,LINC01099
4q34.3,LINC00290
4q34.3,LOC90768
4q34.3,MIR1305
4q34.3,TENM3
4q35.1,DCTD
4q35.1,FAM92A1P2
4q35.1,WWC2-AS2
4q35.1,WWC2
4q35.1,WWC2-AS1
4q35.1,CLDN22
4q35.1,CLDN24
4q35.1,CDKN2AIP
4q35.1,LOC389247
4q35.1,ING2
4q35.1,RWDD4
4q35.1,TRAPPC11
4q35.1,STOX2
4q35.1,ENPP6
4q35.1,LOC728175
4q35.1,LOC102723766
4q35.1,IRF2
4q35.1,LVCAT8
4q35.1,CASP3
4q35.1,PRIMPOL
4q35.1,CENPU
4q35.1,ACSL1
4q35.1,SLED1
4q35.1,MIR3945HG
4q35.1,MIR3945
4q35.1,LINC01093
4q35.1,MIR4455
4q35.1,HELT
4q35.1,SLC25A4
4q35.1,CFAP97
4q35.1,SNX25
4q35.1,LRP2BP
4q35.1,ANKRD37
4q35.1,UFSP2
4q35.1,C4orf47
4q35.1,CCDC110
4q35.1,LOC105377590
4q35.1,PDLIM3
4q35.1,SORBS2
4q35.1,TLR3
4q35.1,FAM149A
4q35.1,CYP4V2
4q35.1,FLJ38576
4q35.2,KLKB1
4q35.2,F11
4q35.2,F11-AS1
4q35.2,MTNR1A
4q35.2,FAT1
4q35.2,LOC339975
4q35.2,LOC100506272
4q35.2,ZFP42
4q35.2,TRIML2
4q35.2,TRIML1
4q35.2,LINC01060
4q35.2,LINC01262
4q35.2,LINC01596
4q35.2,FRG1
4q35.2,FRG2
4q35.2,DBET
4q35.2,DUX4|chr4
5p15.33,PLEKHG4B
5p15.33,LRRC14B
5p15.33,CCDC127
5p15.33,SDHA
5p15.33,HRAT5
5p15.33,PDCD6
5p15.33,AHRR
5p15.33,EXOC3-AS1
5p15.33,EXOC3
5p15.33,LOC100288152
5p15.33,PP7080
5p15.33,SLC9A3
5p15.33,MIR4456
5p15.33,LOC100996325
5p15.33,CEP72
5p15.33,TPPP
5p15.33,ZDHHC11
5p15.33,BRD9
5p15.33,TRIP13
5p15.33,LOC100506688
5p15.33,NKD2
5p15.33,SLC12A7
5p15.33,MIR4635
5p15.33,CTD-3080P12.3
5p15.33,SLC6A19
5p15.33,SLC6A18
5p15.33,TERT
5p15.33,MIR4457
5p15.33,CLPTM1L
5p15.33,LINC01511
5p15.33,SLC6A3
5p15.33,LPCAT1
5p15.33,MIR6075
5p15.33,SDHAP3
5p15.33,LOC728613
5p15.33,MIR4277
5p15.33,MRPL36
5p15.33,NDUFS6
5p15.33,LOC101929034
5p15.33,IRX4
5p15.33,CTD-2194D22.4
5p15.33,IRX2
5p15.33,LOC100506858
5p15.33,C5orf38
5p15.33,LOC105374620
5p15.33,LINC01377
5p15.33,LINC01019
5p15.33,LINC01017
5p15.33,IRX1
5p15.32,LOC101929153
5p15.32,LINC01020
5p15.32,LOC105374631
5p15.32,CTD-2297D10.2
5p15.32,ADAMTS16
5p15.32,ICE1
5p15.31,FLJ33360
5p15.31,MED10
5p15.31,UBE2QL1
5p15.31,LINC01018
5p15.31,NSUN2
5p15.31,SRD5A1
5p15.31,LOC100505625
5p15.31,PAPD7
5p15.31,MIR4278
5p15.31,MIR4454|chr5
5p15.31,LOC442132
5p15.31,LOC101929261
5p15.31,ADCY2
5p15.31,C5orf49
5p15.31,FASTKD3
5p15.31,MTRR
5p15.31,LOC729506
5p15.31,MIR4458HG
5p15.31,MIR4458
5p15.31,LOC101929284
5p15.31,SEMA5A
5p15.31,MIR4636
5p15.31,CTD-2201E9.1
5p15.31,SNHG18
5p15.31,SNORD123
5p15.31,TAS2R1
5p15.31,LOC285692
5p15.2,FAM173B
5p15.2,CCT5
5p15.2,CMBL
5p15.2,6-Mar
5p15.2,ROPN1L-AS1
5p15.2,ROPN1L
5p15.2,MIR6131
5p15.2,LOC101929412
5p15.2,LOC389273
5p15.2,ANKRD33B
5p15.2,DAP
5p15.2,CTNND2
5p15.2,DNAH5
5p15.2,LINC01194
5p15.2,TRIO
5p15.2,FAM105A
5p15.2,SNORD141A|chr5
5p15.2,OTULIN
5p15.2,ANKH
5p15.2,LOC100130744
5p15.2,MIR4637
5p15.1,LOC101929454
5p15.1,FBXL7
5p15.1,CTD-2350J17.1
5p15.1,MIR887
5p15.1,11-Mar
5p15.1,LOC101929505
5p15.1,ZNF622
5p15.1,FAM134B
5p15.1,LOC101929524
5p15.1,MYO10
5p15.1,LOC285696
5p15.1,BASP1
5p15.1,LOC401177
5p15.1,LOC101929544
5p15.1,LOC102723526
5p15.1,LOC646241
5p14.3,CDH18
5p14.3,GUSBP1
5p14.3,CDH12
5p14.3,SNORA105A|chr5
5p14.3,PMCHL1
5p14.2,PRDM9
5p14.2,C5orf17
5p14.2,CDH10
5p14.1,LOC340107
5p14.1,LOC105374693
5p14.1,CDH9
5p14.1,LINC01021
5p14.1,LOC105374698
5p13.3,LSP1P3
5p13.3,LOC101929645
5p13.3,LOC101929660
5p13.3,LOC101929681
5p13.3,LOC105374704
5p13.3,CDH6
5p13.3,DROSHA
5p13.3,C5orf22
5p13.3,PDZD2
5p13.3,MIR4279
5p13.3,GOLPH3
5p13.3,MTMR12
5p13.3,ZFR
5p13.3,MIR579
5p13.3,SUB1
5p13.3,NPR3
5p13.3,LOC340113
5p13.3,TARS
5p13.3,ADAMTS12
5p13.2,RXFP3
5p13.2,SLC45A2
5p13.2,AMACR
5p13.2,C1QTNF3-AMACR
5p13.2,C1QTNF3
5p13.2,RAI14
5p13.2,MIR7641-2|chr5
5p13.2,TTC23L
5p13.2,RAD1
5p13.2,BRIX1
5p13.2,DNAJC21
5p13.2,AGXT2
5p13.2,PRLR
5p13.2,SPEF2
5p13.2,IL7R
5p13.2,CAPSL
5p13.2,LOC100506406
5p13.2,UGT3A1
5p13.2,UGT3A2
5p13.2,LMBRD2
5p13.2,MIR580
5p13.2,SKP2
5p13.2,NADK2
5p13.2,RANBP3L
5p13.2,SLC1A3
5p13.2,NIPBL-AS1
5p13.2,NIPBL
5p13.2,C5orf42
5p13.2,LOC105374727
5p13.2,NUP155
5p13.2,WDR70
5p13.2,GDNF
5p13.2,GDNF-AS1
5p13.2,LOC105374729
5p13.2,LOC101929745
5p13.2,EGFLAM
5p13.2,EGFLAM-AS4
5p13.2,EGFLAM-AS2
5p13.1,LIFR
5p13.1,LIFR-AS1
5p13.1,MIR3650
5p13.1,OSMR-AS1
5p13.1,LINC01265
5p13.1,OSMR
5p13.1,RICTOR
5p13.1,FYB
5p13.1,C9
5p13.1,DAB2
5p13.1,LOC101926940
5p13.1,LINC00603
5p13.1,PTGER4
5p13.1,TTC33
5p13.1,PRKAA1
5p13.1,LOC100506548
5p13.1,RPL37
5p13.1,SNORD72
5p13.1,CARD6
5p13.1,C7
5p13.1,MROH2B
5p13.1,C6
5p13.1,PLCXD3
5p13.1,hsa-mir-1274a
5p13.1,OXCT1
5p13.1,OXCT1-AS1
5p13.1,C5orf51
5p13.1,FBXO4
5p13.1,LOC101926960
5p13.1,GHR
5p12,CCDC152
5p12,SEPP1
5p12,FLJ32255
5p12,LOC648987
5p12,ANXA2R
5p12,LOC153684
5p12,LOC100132356
5p12,LOC100506639
5p12,ZNF131
5p12,NIM1K
5p12,HMGCS1
5p12,CCL28
5p12,TMEM267
5p12,C5orf34
5p12,PAIP1
5p12,NNT-AS1
5p12,NNT
5p12,FGF10
5p12,FGF10-AS1
5p12,BRCAT107
5p12,BRCAT54
5p12,MRPS30
5p12,HCN1
5q11.1,EMB
5q11.1,PARP8
5q11.1,LOC100287592
5q11.1,LOC642366
5q11.1,ISL1
5q11.2,PELO
5q11.2,ITGA1
5q11.2,ITGA2
5q11.2,MOCS2
5q11.2,LOC257396
5q11.2,FST
5q11.2,NDUFS4
5q11.2,ARL15
5q11.2,MIR581
5q11.2,MIR4459|chr5
5q11.2,LINC01033
5q11.2,HSPB3
5q11.2,SNX18
5q11.2,LOC102467080
5q11.2,ESM1
5q11.2,LOC102467081
5q11.2,GZMK
5q11.2,GZMA
5q11.2,CDC20B
5q11.2,GPX8
5q11.2,MIR449A
5q11.2,MIR449B
5q11.2,MIR449C
5q11.2,MCIDAS
5q11.2,CCNO
5q11.2,DHX29
5q11.2,SKIV2L2
5q11.2,PLPP1
5q11.2,MIR5687
5q11.2,RNF138P1
5q11.2,SLC38A9
5q11.2,DDX4
5q11.2,IL31RA
5q11.2,IL6ST
5q11.2,FLJ31104
5q11.2,ANKRD55
5q11.2,LOC102467147
5q11.2,C5orf67
5q11.2,MAP3K1
5q11.2,SETD9
5q11.2,MIER3
5q11.2,GPBP1
5q11.2,ACTBL2
5q11.2,LINCR-0003
5q11.2,LOC101928505
5q11.2,LOC101928539
5q11.2,LOC101928569
5q11.2,PLK2
5q11.2,GAPT
5q11.2,MIR548AE2
5q11.2,LOC101928600
5q11.2,RAB3C
5q11.2,PDE4D
5q12.1,MIR582
5q12.1,PART1
5q12.1,DEPDC1B
5q12.1,ELOVL7
5q12.1,ERCC8
5q12.1,NDUFAF2
5q12.1,SMIM15
5q12.1,CTC-436P18.1
5q12.1,ZSWIM6
5q12.1,C5orf64
5q12.1,LOC101928651
5q12.1,KIF2A
5q12.1,LOC100506526
5q12.1,DIMT1
5q12.1,IPO11
5q12.1,IPO11-LRRC70
5q12.1,LRRC70
5q12.3,HTR1A
5q12.3,RNF180
5q12.3,RGS7BP
5q12.3,FAM159B
5q12.3,SREK1IP1
5q12.3,CWC27
5q12.3,ADAMTS6
5q12.3,CENPK
5q12.3,PPWD1
5q12.3,TRIM23
5q12.3,TRAPPC13
5q12.3,SGTB
5q12.3,NLN
5q12.3,ERBIN
5q12.3,LOC100303749
5q12.3,SREK1
5q12.3,LOC101928769
5q12.3,MAST4
5q12.3,LOC101928794
5q12.3,CD180
5q13.1,LOC101928858
5q13.1,LOC102467655
5q13.1,PIK3R1
5q13.1,LOC101928885
5q13.1,SLC30A5
5q13.2,CCNB1
5q13.2,CENPH
5q13.2,MRPS36
5q13.2,CDK7
5q13.2,CCDC125
5q13.2,AK6
5q13.2,TAF9
5q13.2,RAD17
5q13.2,MARVELD2
5q13.2,LOC101928924
5q13.2,OCLN
5q13.2,GTF2H2B
5q13.2,GTF2H2C_2
5q13.2,GTF2H2C
5q13.2,GTF2H2
5q13.2,GUSBP3
5q13.2,GUSBP9
5q13.2,LOC102724392
5q13.2,LOC441081
5q13.2,SERF1A
5q13.2,SERF1B
5q13.2,SMA4
5q13.2,SMA5
5q13.2,SMN1
5q13.2,SMN2
5q13.2,NAIP
5q13.2,BDP1
5q13.2,LOC647859
5q13.2,PMCHL2
5q13.2,MCCC2
5q13.2,CARTPT
5q13.2,MAP1B
5q13.2,MIR4803
5q13.2,MRPS27
5q13.2,PTCD2
5q13.2,ZNF366
5q13.2,LOC102503427
5q13.2,LOC102477328
5q13.2,TNPO1
5q13.2,MIR4804
5q13.2,FCHO2
5q13.2,TMEM171
5q13.2,LOC105379030
5q13.2,TMEM174
5q13.2,FOXD1
5q13.2,LOC340090
5q13.2,LINC01386
5q13.2,BTF3
5q13.2,ANKRA2
5q13.2,UTP15
5q13.2,ARHGEF28
5q13.3,LINC01335
5q13.3,LINC01333
5q13.3,LINC01331
5q13.3,ENC1
5q13.3,HEXB
5q13.3,GFM2
5q13.3,NSA2
5q13.3,FAM169A
5q13.3,LOC441086
5q13.3,GCNT4
5q13.3,LINC01336
5q13.3,ANKRD31
5q13.3,HMGCR
5q13.3,COL4A3BP
5q13.3,POLK
5q13.3,ANKDD1B
5q13.3,POC5
5q13.3,SV2C
5q13.3,IQGAP2
5q13.3,LOC101929109
5q13.3,F2RL2
5q13.3,F2R
5q13.3,NCRUPAR
5q13.3,F2RL1
5q13.3,S100Z
5q13.3,CRHBP
5q13.3,AGGF1
5q13.3,SNORA47
5q13.3,ZBED3
5q13.3,ZBED3-AS1
5q13.3,PDE8B
5q13.3,WDR41
5q14.1,OTP
5q14.1,TBCA
5q14.1,AP3B1
5q14.1,LOC101929154
5q14.1,SCAMP1-AS1
5q14.1,SCAMP1
5q14.1,LHFPL2
5q14.1,ARSB
5q14.1,DMGDH
5q14.1,BHMT2
5q14.1,BHMT
5q14.1,JMY
5q14.1,HOMER1
5q14.1,PAPD4
5q14.1,CMYA5
5q14.1,LINC01455
5q14.1,MTX3
5q14.1,THBS4
5q14.1,CTD-2201I18.1
5q14.1,SERINC5
5q14.1,LOC644936
5q14.1,SPZ1
5q14.1,CRSP8P
5q14.1,ZFYVE16
5q14.1,FAM151B
5q14.1,ANKRD34B
5q14.1,LINC01337
5q14.1,DHFR
5q14.1,MTRNR2L2
5q14.1,MSH3
5q14.1,RASGRF2-AS1
5q14.1,RASGRF2
5q14.1,CKMT2-AS1
5q14.1,CKMT2
5q14.1,ZCCHC9
5q14.1,ACOT12
5q14.1,SSBP2
5q14.1,ATG10
5q14.2,ATP6AP1L
5q14.2,RPS23
5q14.2,MIR3977
5q14.2,LINC01338
5q14.2,TMEM167A
5q14.2,SCARNA18
5q14.2,XRCC4
5q14.2,VCAN
5q14.3,LOC105379054
5q14.3,HAPLN1
5q14.3,EDIL3
5q14.3,NBPF22P
5q14.3,COX7C
5q14.3,MIR3607
5q14.3,LOC100505878
5q14.3,MIR4280
5q14.3,LOC101929380
5q14.3,LOC55338
5q14.3,RASA1
5q14.3,LOC644285
5q14.3,CCNH
5q14.3,TMEM161B
5q14.3,TMEM161B-AS1
5q14.3,LINC00461
5q14.3,LOC102546226
5q14.3,MIR9-2
5q14.3,MEF2C
5q14.3,MEF2C-AS1
5q14.3,MIR3660
5q14.3,LINC01339
5q14.3,CETN3
5q14.3,LOC731157
5q14.3,MBLAC2
5q14.3,POLR3G
5q14.3,LYSMD3
5q14.3,ADGRV1
5q14.3,LUCAT1
5q14.3,ARRDC3
5q14.3,ARRDC3-AS1
5q15,NR2F1-AS1
5q15,NR2F1
5q15,FAM172A
5q15,MIR2277
5q15,POU5F2
5q15,KIAA0825
5q15,SLF1
5q15,MCTP1
5q15,FAM81B
5q15,TTC37
5q15,ARSK
5q15,GPR150
5q15,RFESD
5q15,SPATA9
5q15,RHOBTB3
5q15,GLRX
5q15,LINC01554
5q15,ELL2
5q15,LOC101929710
5q15,MIR583
5q15,PCSK1
5q15,CAST
5q15,ERAP1
5q15,ERAP2
5q15,LNPEP
5q15,LIX1
5q15,RIOK2
5q15,LINC01340
5q15,RGMB-AS1
5q15,RGMB
5q15,CHD1
5q21.1,LOC100289230
5q21.1,CTD-2151A2.1
5q21.1,LOC100133050
5q21.1,FAM174A
5q21.1,ST8SIA4
5q21.1,MIR548P
5q21.1,SLCO4C1
5q21.1,SLCO6A1
5q21.1,LINC00492
5q21.1,LINC00491
5q21.1,PAM
5q21.1,GIN1
5q21.1,PPIP5K2
5q21.1,C5orf30
5q21.2,LOC102467212
5q21.2,NUDT12
5q21.2,RAB9BP1
5q21.3,LOC102467213
5q21.3,EFNA5
5q21.3,FBXL17
5q21.3,LINC01023
5q21.3,FER
5q21.3,PJA2
5q21.3,MAN2A1
5q21.3,LOC100289673
5q22.1,TMEM232
5q22.1,MIR548F3|chr5
5q22.1,SLC25A46
5q22.1,TSLP
5q22.1,WDR36
5q22.1,CAMK4
5q22.1,STARD4
5q22.1,STARD4-AS1
5q22.1,NREP
5q22.1,NREP-AS1
5q22.1,EPB41L4A-AS1
5q22.1,EPB41L4A
5q22.1,SNORA13
5q22.2,LOC101927023
5q22.2,EPB41L4A-AS2
5q22.2,LOC102467214
5q22.2,LOC102467216
5q22.2,APC
5q22.2,SRP19
5q22.2,REEP5
5q22.2,DCP2
5q22.2,MCC
5q22.2,TSSK1B
5q22.2,YTHDC2
5q22.3,KCNN2
5q22.3,LOC101927078
5q22.3,LOC101927059
5q22.3,TRIM36
5q22.3,PGGT1B
5q22.3,CCDC112
5q22.3,FEM1C
5q22.3,TICAM2
5q22.3,TMED7-TICAM2
5q22.3,LOC101927100
5q22.3,TMED7
5q22.3,LOC102467217
5q22.3,CDO1
5q22.3,ATG12
5q22.3,AP3S1
5q23.1,LVRN
5q23.1,ARL14EPL
5q23.1,COMMD10
5q23.1,LOC101927190
5q23.1,SEMA6A
5q23.1,SEMA6A-AS1
5q23.1,LINC00992
5q23.1,LOC102467223
5q23.1,LOC102467224
5q23.1,HNCAT21
5q23.1,HRAT56
5q23.1,LOC102467225
5q23.1,DTWD2
5q23.1,MIR1244-1|chr5
5q23.1,MIR1244-2|chr5
5q23.1,MIR1244-3|chr5
5q23.1,hsa-mir-1244-2
5q23.1,LOC105379143
5q23.1,DMXL1
5q23.1,MIR5706
5q23.1,TNFAIP8
5q23.1,HSD17B4
5q23.1,FAM170A
5q23.1,PRR16
5q23.1,LOC102467226
5q23.1,FTMT
5q23.1,SRFBP1
5q23.1,LOX
5q23.2,ZNF474
5q23.2,LOC100505841
5q23.2,SNCAIP
5q23.2,MGC32805
5q23.2,LOC101927357
5q23.2,LOC101927379
5q23.2,SNX2
5q23.2,SNX24
5q23.2,PPIC
5q23.2,PRDM6
5q23.2,CEP120
5q23.2,CSNK1G3
5q23.2,LINC01170
5q23.2,ZNF608
5q23.2,LOC101927421
5q23.2,LOC101927460
5q23.2,LOC102546228
5q23.2,LOC101927488
5q23.2,GRAMD3
5q23.2,ALDH7A1
5q23.2,PHAX
5q23.2,TEX43
5q23.2,LOC102723557
5q23.2,LMNB1
5q23.2,3-Mar
5q23.2,C5orf63
5q23.2,MEGF10
5q23.2,PRRC1
5q23.2,CTXN3
5q23.2,CCDC192
5q23.3,LINC01184
5q23.3,SLC12A2
5q23.3,FBN2
5q23.3,SLC27A6
5q23.3,ISOC1
5q23.3,MIR4633
5q23.3,MIR4460
5q23.3,ADAMTS19-AS1
5q23.3,ADAMTS19
5q23.3,KIAA1024L
5q23.3,CHSY3
5q23.3,HINT1
5q23.3,LYRM7
5q31.1,CDC42SE2
5q31.1,RAPGEF6
5q31.1,FNIP1
5q31.1,MEIKIN
5q31.1,ACSL6
5q31.1,IL3
5q31.1,CSF2
5q31.1,P4HA2-AS1
5q31.1,P4HA2
5q31.1,MIR6830
5q31.1,PDLIM4
5q31.1,SLC22A4
5q31.1,LOC553103
5q31.1,MIR3936
5q31.1,SLC22A5
5q31.1,C5orf56
5q31.1,IRF1
5q31.1,IL5
5q31.1,RAD50
5q31.1,TH2LCRR
5q31.1,IL13
5q31.1,IL4
5q31.1,LOC105379176
5q31.1,KIF3A
5q31.1,CCNI2
5q31.1,8-Sep
5q31.1,SOWAHA
5q31.1,SHROOM1
5q31.1,GDF9
5q31.1,UQCRQ
5q31.1,AFF4
5q31.1,LEAP2
5q31.1,ZCCHC10
5q31.1,HSPA4
5q31.1,FSTL4
5q31.1,MIR1289-2
5q31.1,C5orf15
5q31.1,WSPAR
5q31.1,LOC105379183
5q31.1,VDAC1
5q31.1,TCF7
5q31.1,SKP1
5q31.1,PPP2CA
5q31.1,MIR3661
5q31.1,CDKL3
5q31.1,UBE2B
5q31.1,CDKN2AIPNL
5q31.1,LOC102546229
5q31.1,LOC101927934
5q31.1,JADE2
5q31.1,SAR1B
5q31.1,SEC24A
5q31.1,CAMLG
5q31.1,DDX46
5q31.1,C5orf24
5q31.1,TXNDC15
5q31.1,PCBD2
5q31.1,MIR4461
5q31.1,CATSPER3
5q31.1,C5orf66
5q31.1,PITX1
5q31.1,C5orf66-AS1
5q31.1,C5orf66-AS2
5q31.1,H2AFY
5q31.1,DCANP1
5q31.1,TIFAB
5q31.1,NEUROG1
5q31.1,CXCL14
5q31.1,LOC340074
5q31.1,MIR5692C1
5q31.1,SLC25A48
5q31.1,IL9
5q31.1,FBXL21
5q31.1,LECT2
5q31.1,TGFBI
5q31.1,VTRNA2-1
5q31.1,hsa-mir-886
5q31.1,SMAD5-AS1
5q31.1,SMAD5
5q31.1,LOC389332
5q31.1,TRPC7
5q31.1,TRPC7-AS2
5q31.2,SPOCK1
5q31.2,LOC105379192
5q31.2,KLHL3
5q31.2,MIR874
5q31.2,HNRNPA0
5q31.2,NPY6R
5q31.2,MYOT
5q31.2,PKD2L2
5q31.2,FAM13B
5q31.2,LOC100130172
5q31.2,WNT8A
5q31.2,NME5
5q31.2,BRD8
5q31.2,CDC23
5q31.2,KIF20A
5q31.2,GFRA3
5q31.2,CDC25C
5q31.2,FAM53C
5q31.2,KDM3B
5q31.2,REEP2
5q31.2,EGR1
5q31.2,ETF1
5q31.2,HSPA9
5q31.2,SNORD63
5q31.2,LOC105379194
5q31.2,CTNNA1
5q31.2,LRRTM2
5q31.2,SIL1
5q31.2,MATR3
5q31.2,SNHG4
5q31.2,SNORA74A
5q31.2,PAIP2
5q31.2,SLC23A1
5q31.2,MZB1
5q31.2,PROB1
5q31.2,SPATA24
5q31.2,DNAJC18
5q31.2,ECSCR
5q31.2,TMEM173
5q31.2,UBE2D2
5q31.2,CXXC5
5q31.2,LOC101929696
5q31.2,PSD2
5q31.2,NRG2
5q31.3,LINC01024
5q31.3,PURA
5q31.3,IGIP
5q31.3,CYSTM1
5q31.3,LOC101929719
5q31.3,PFDN1
5q31.3,HBEGF
5q31.3,SLC4A9
5q31.3,ANKHD1-EIF4EBP3
5q31.3,ANKHD1
5q31.3,EIF4EBP3
5q31.3,APBB3
5q31.3,SRA1
5q31.3,MIR6831
5q31.3,SLC35A4
5q31.3,CD14
5q31.3,NDUFA2
5q31.3,TMCO6
5q31.3,IK
5q31.3,MIR3655
5q31.3,WDR55
5q31.3,DND1
5q31.3,HARS
5q31.3,HARS2
5q31.3,ZMAT2
5q31.3,VTRNA1-1
5q31.3,VTRNA1-2
5q31.3,VTRNA1-3
5q31.3,PCDHA1
5q31.3,PCDHA2
5q31.3,PCDHA3
5q31.3,PCDHA4
5q31.3,PCDHA5
5q31.3,PCDHA6
5q31.3,PCDHA7
5q31.3,PCDHA8
5q31.3,PCDHA9
5q31.3,PCDHA10
5q31.3,PCDHA11
5q31.3,PCDHA12
5q31.3,PCDHA13
5q31.3,PCDHAC1
5q31.3,PCDHAC2
5q31.3,LOC101926905
5q31.3,PCDHB1
5q31.3,PCDHB2
5q31.3,PCDHB3
5q31.3,PCDHB4
5q31.3,PCDHB5
5q31.3,PCDHB6
5q31.3,PCDHB17P
5q31.3,PCDHB7
5q31.3,PCDHB8
5q31.3,PCDHB16
5q31.3,PCDHB10
5q31.3,PCDHB9
5q31.3,PCDHB11
5q31.3,PCDHB12
5q31.3,PCDHB13
5q31.3,PCDHB14
5q31.3,PCDHB18P
5q31.3,PCDHB19P
5q31.3,PCDHB15
5q31.3,SLC25A2
5q31.3,TAF7
5q31.3,PCDHGA1
5q31.3,PCDHGA2
5q31.3,PCDHGA3
5q31.3,PCDHGA4
5q31.3,PCDHGB1
5q31.3,PCDHGA5
5q31.3,PCDHGB2
5q31.3,PCDHGA6
5q31.3,PCDHGB3
5q31.3,PCDHGA7
5q31.3,PCDHGA8
5q31.3,PCDHGB4
5q31.3,PCDHGA9
5q31.3,PCDHGB5
5q31.3,PCDHGA10
5q31.3,PCDHGB6
5q31.3,PCDHGA11
5q31.3,PCDHGB7
5q31.3,PCDHGA12
5q31.3,PCDHGB8P
5q31.3,PCDHGC3
5q31.3,PCDHGC4
5q31.3,PCDHGC5
5q31.3,DIAPH1
5q31.3,LOC100505658
5q31.3,HDAC3
5q31.3,FCHSD1
5q31.3,RELL2
5q31.3,ARAP3
5q31.3,PCDH1
5q31.3,LOC729080
5q31.3,KIAA0141
5q31.3,PCDH12
5q31.3,RNF14
5q31.3,GNPDA1
5q31.3,NDFIP1
5q31.3,SPRY4
5q31.3,SPRY4-IT1
5q31.3,LOC101926941
5q31.3,FGF1
5q31.3,LOC101926975
5q31.3,ARHGAP26
5q31.3,ARHGAP26-AS1
5q31.3,ARHGAP26-IT1
5q31.3,NR3C1
5q31.3,MIR5197
5q31.3,HMHB1
5q31.3,YIPF5
5q31.3,KCTD16
5q32,PRELID2
5q32,GRXCR2
5q32,SH3RF2
5q32,PLAC8L1
5q32,LARS
5q32,RBM27
5q32,POU4F3
5q32,TCERG1
5q32,GPR151
5q32,PPP2R2B
5q32,PPP2R2B-IT1
5q32,STK32A
5q32,DPYSL3
5q32,JAKMIP2-AS1
5q32,JAKMIP2
5q32,SPINK1
5q32,SCGB3A2
5q32,C5orf46
5q32,SPINK5
5q32,SPINK14
5q32,SPINK6
5q32,LOC102546294
5q32,SPINK13
5q32,SPINK7
5q32,SPINK9
5q32,FBXO38
5q32,HTR4
5q32,ADRB2
5q32,SH3TC2
5q32,MIR584
5q32,LOC255187
5q32,ABLIM3
5q32,AFAP1L1
5q32,GRPEL2-AS1
5q32,GRPEL2
5q32,PCYOX1L
5q32,IL17B
5q32,CARMN
5q32,MIR143
5q32,MIR145
5q32,CSNK1A1
5q32,ARHGEF37
5q32,MIR378A
5q32,PPARGC1B
5q32,PDE6A
5q32,LOC644762
5q32,SLC26A2
5q32,TIGD6
5q32,HMGXB3
5q32,CSF1R
5q32,PDGFRB
5q32,CDX1
5q32,SLC6A7
5q32,CAMK2A
5q32,ARSI
5q32,TCOF1
5q33.1,CD74
5q33.1,RPS14
5q33.1,LOC102546298
5q33.1,NDST1
5q33.1,SYNPO
5q33.1,MYOZ3
5q33.1,RBM22
5q33.1,DCTN4
5q33.1,SMIM3
5q33.1,IRGM
5q33.1,ZNF300
5q33.1,ZNF300P1
5q33.1,GPX3
5q33.1,TNIP1
5q33.1,ANXA6
5q33.1,CCDC69
5q33.1,GM2A
5q33.1,SLC36A3
5q33.1,SLC36A2
5q33.1,SLC36A1
5q33.1,FAT2
5q33.1,MIR6499
5q33.1,SPARC
5q33.1,CTB-113P19.1
5q33.1,ATOX1
5q33.1,LOC100652758
5q33.1,G3BP1
5q33.1,GLRA1
5q33.1,CTB-12O2.1
5q33.1,NMUR2
5q33.1,LINC01470
5q33.2,GRIA1
5q33.2,FAM114A2
5q33.2,MFAP3
5q33.2,GALNT10
5q33.2,MIR1294
5q33.2,SAP30L-AS1
